method,cancer,MCC,F1,AUC,Precision,ks
CTAT,LUSC,0.39476876772537106,0.6712362794978974,0.9015036799781927,0.68,4.76119449395289e-119
CTAT,PAAD,0.38884019006751036,0.6686475887852823,0.9003463609104538,0.67,4.5686307006970415e-114
CTAT,PCPG,0.376983034751789,0.6634702073600525,0.8924441188496661,0.65,3.666166219994441e-119
CTAT,PRAD,0.38291161240964966,0.6660588980726674,0.9001313547771569,0.66,5.755310683490673e-114
CTAT,READ,0.4006973453832317,0.6738249702105124,0.9077695243287448,0.69,5.119612543075372e-120
CTAT,SARC,0.38884019006751036,0.6686475887852823,0.9093064263322884,0.67,3.0033763461519424e-129
CTAT,SKCM,0.4066259230410924,0.6764136609231274,0.8975885920676026,0.7,2.456271238508477e-125
CTAT,STAD,0.376983034751789,0.6634702073600525,0.9085087569851438,0.65,8.153400250300827e-122
CTAT,TGCT,0.39476876772537106,0.6712362794978974,0.8895536322747717,0.68,2.722148568193282e-106
CTAT,THCA,0.4006973453832317,0.6738249702105124,0.9027410726454955,0.69,2.9781772129459223e-115
CTAT,THYM,0.34734014646248557,0.6505267537969774,0.8920870246694833,0.6,3.203985527012817e-113
CTAT,UCEC,0.39476876772537106,0.6712362794978974,0.9044422107128253,0.68,9.194233956090705e-116
CTAT,UCS,0.38291161240964966,0.6660588980726674,0.8921283392394712,0.66,3.187387834116577e-112
CTAT,UVM,0.3414115688046249,0.6479380630843625,0.9026960951342511,0.59,5.239831842208689e-113
