method,cancer,MCC,F1,AUC,Precision,ks
WITER,LUSC,0.037119761,0.517450583,0.734165665,0.03,4.63E-08
DriverRWH,LUSC,0.158639609,0.57573542,0.885671932,0.12,6.73E-22
ourmethod,PAAD,0.110095104,0.551695592,0.906206055,0.08,1.23E-18
DNmax,PAAD,0.096581968,0.545135553,0.806198179,0.07,5.88E-16
DNsum,PAAD,0.08223808,0.538396821,0.889385528,0.06,2.27E-21
DriverML,PAAD,0.024589443,0.511296033,0.709705534,0.02,2.98E-09
MaxMIF,PAAD,0.082078336,0.53831081,0.800216417,0.06,1.30E-13
MutPanning,PAAD,0.038920987,0.51802788,0.402988587,0.03,0.000981876
WITER,PAAD,-0.004108589,0.497813646,0.683306881,0,1.97E-07
DriverRWH,PAAD,0.124134768,0.558303429,0.839196447,0.09,1.11E-15
ourmethod,PCPG,-0.001381341,0.498681383,0.956796365,0,2.09E-09
DNmax,PCPG,0.140294751,0.535672408,0.940515082,0.04,1.73E-05
DNsum,PCPG,0.211214079,0.554245512,0.997093815,0.06,7.67E-17
DriverML,PCPG,0.069277241,0.516994932,0.745755654,0.02,0.000155473
MaxMIF,PCPG,0.175707518,0.544897575,0.983284222,0.05,2.05E-09
MutPanning,PCPG,0.104738989,0.52627716,0.67865265,0.03,0.134882031
WITER,PCPG,0.069276653,0.516994307,0.964847404,0.02,1.08E-08
DriverRWH,PCPG,0.140361378,0.535753142,0.987991854,0.04,9.84E-10
ourmethod,PRAD,0.214618557,0.606266844,0.891405233,0.19,8.34E-34
DNmax,PRAD,0.134491245,0.566507064,0.797143742,0.12,8.93E-20
DNsum,PRAD,0.180900285,0.589473577,0.861570942,0.16,3.94E-30
DriverML,PRAD,0.064553144,0.531893089,0.693597356,0.06,1.73E-12
MaxMIF,PRAD,0.215537551,0.606612327,0.769573402,0.19,2.13E-19
MutPanning,PRAD,0.157385736,0.577833073,0.555816246,0.14,0.01233038
WITER,PRAD,0.018125775,0.508917484,0.682837354,0.02,1.28E-07
DriverRWH,PRAD,0.156833148,0.577641967,0.844741916,0.14,9.66E-26
ourmethod,THCA,0.079501987,0.534944656,0.878504328,0.05,4.58E-16
DNmax,THCA,0.132491809,0.557634153,0.826645011,0.08,1.29E-08
DNsum,THCA,0.149457247,0.565068874,0.929949444,0.09,4.09E-20
DriverML,THCA,0.064410571,0.527767623,0.753638325,0.04,9.51E-14
MaxMIF,THCA,0.200239492,0.587303401,0.870647277,0.12,3.06E-14
MutPanning,THCA,-0.003484255,0.498012309,0.479009775,0,0.819784659
WITER,THCA,0.030469144,0.512893374,0.793025707,0.02,4.35E-11
DriverRWH,THCA,0.19484738,0.586139359,0.878725768,0.12,1.36E-16
ourmethod,THYM,-0.001619885,0.498644656,0.897044424,0,1.52E-06
DNmax,THYM,0.088917182,0.525594049,0.843878253,0.03,1.19E-05
DNsum,THYM,0.179644902,0.552702961,0.913313828,0.06,1.42E-10
DriverML,THYM,0.11905352,0.534526967,0.769018216,0.04,8.42E-06
MaxMIF,THYM,0.119093449,0.534565826,0.924304552,0.04,5.14E-08
MutPanning,THYM,0.11904695,0.534520572,0.675694785,0.04,0.083381641
WITER,THYM,0.088803538,0.525488024,0.925347268,0.03,5.60E-09
DriverRWH,THYM,0.119245218,0.534713522,0.979940838,0.04,2.63E-13
ourmethod,UCEC,0.198502977,0.596557925,0.890658675,0.16,1.84E-21
DNmax,UCEC,0.008315877,0.503934614,0.822469883,0.01,6.44E-18
DNsum,UCEC,0.172830288,0.584044552,0.875378491,0.14,9.38E-22
DriverML,UCEC,0.261182201,0.627058861,0.808861193,0.21,8.04E-24
MaxMIF,UCEC,0.273927231,0.633268207,0.811716583,0.22,7.50E-19
MutPanning,UCEC,0.261167803,0.627051326,0.632172951,0.21,2.52E-08
WITER,UCEC,-0.004660614,0.497607234,0.668355077,0,1.28E-06
DriverRWH,UCEC,0.236298933,0.614957279,0.881610936,0.19,1.67E-25
ourmethod,UCS,0.063420242,0.52338886,0.951477748,0.03,2.08E-18
DNmax,UCS,0.06317949,0.523223508,0.881682766,0.03,9.44E-11
DNsum,UCS,0.369694508,0.639308219,0.983747305,0.17,5.00E-22
DriverML,UCS,0.172507535,0.56457688,0.817998763,0.08,1.66E-13
MaxMIF,UCS,0.128766269,0.548030479,0.913473567,0.06,1.06E-11
MutPanning,UCS,0.238197486,0.589452051,0.749170736,0.11,7.12E-06
WITER,UCS,0.063010321,0.52310732,0.90691007,0.03,1.25E-11
DriverRWH,UCS,0.238432025,0.589637611,0.958129173,0.11,6.74E-19
ourmethod,UVM,0.028613052,0.507678085,0.93965903,0.01,2.48E-07
DNmax,UVM,0.149402328,0.543666657,0.969454387,0.05,4.97E-11
DNsum,UVM,0.300615195,0.588848176,0.998569257,0.1,3.15E-24
DriverML,UVM,0.209801437,0.561641901,0.816555785,0.07,2.71E-08
MaxMIF,UVM,0.119093449,0.534565826,0.967302445,0.04,3.31E-12
MutPanning,UVM,0.088797228,0.525482137,0.633588764,0.03,0.205881323
WITER,UVM,0.088803538,0.525488024,0.975365609,0.03,1.73E-13
DriverRWH,UVM,0.209956693,0.561817589,0.99575152,0.07,8.43E-19
