0.0077263,3.3993e-29,9.9979e-79,5.358e-05,2.6966e-11
0.00047496,0.0049528,2.018e-72,7.5482e-06,8.2741e-18
3.8947e-06,5.7555e-29,3.3415e-71,1.4167e-05,3.2783e-22
0.00013256,7.4552e-30,4.1163e-76,5.1539e-05,6.7059e-24
5.1812e-06,6.157e-29,2.7756e-55,0.00030455,2.493e-07
8.0028e-09,3.7224e-31,4.1104e-74,4.7257e-05,1.9463e-15
2.6132e-05,1.7916e-29,2.6689e-74,4.292e-05,4.29e-19
3.2295e-06,1.165e-30,1.2596e-43,2.1169e-05,1.9391e-26
1.1821e-10,7.3721e-31,4.0688e-72,1.2972e-06,2.2103e-24
4.3931e-06,2.7958e-28,1.448e-76,5.12e-06,0.00012545
7.0531e-07,1.3619e-29,4.9311e-70,1.5052e-05,1.5218e-22
1.4142e-09,1.5292e-30,1.2174e-80,1.6999e-05,6.4343e-21
5.1966e-08,2.3112e-28,2.7762e-72,5.3853e-06,2.5566e-35
5.8448e-08,3.8809e-30,3.0107e-74,1.5471e-05,1.6254e-23
8.4079e-07,4.9573e-29,1.4175e-78,4.2398e-05,4.3641e-22
5.4447e-05,1.3214e-28,6.4956e-71,8.9276e-05,4.602e-19
1.9643e-06,9.1818e-29,4.9489e-56,0.00012445,1.717e-23
2.3503e-09,2.1409e-28,1.2098e-69,2.3571e-05,8.0445e-05
1.6688e-08,1.2414e-29,1.2349e-65,1.418e-05,1.0325e-26
2.3494e-05,1.8644e-30,6.6786e-71,0.0001116,3.388e-24
1.6851e-09,2.5899e-27,4.5634e-76,1.382e-05,5.1017e-09
0.0026508,1.0015e-28,6.6224e-75,0.00015337,1.5033e-17
1.2277e-08,4.0045e-30,1.0111e-72,1.6609e-05,3.1639e-17
1.0551e-08,1.7058e-30,6.0821e-56,5.0776e-06,1.9593e-05
5.7259e-12,2.0321e-30,2.3268e-74,6.3897e-05,1.5491e-12
1.5116e-11,3.5497e-28,7.3457e-72,4.2279e-05,9.7323e-09
0.00016413,2.0689e-28,5.9712e-82,0.00017347,9.6615e-11
1.2245e-06,9.8087e-28,1.2473e-70,0.00045062,3.0272e-13
3.1869e-06,8.2365e-30,6.2852e-63,2.9881e-05,0.0060409
